period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
global_financial_crisis,tqqq_hold,2007-10-31,2009-03-09,100000.0000000000,5920.1459823034,-0.9407985402,-0.8757922393,1,0.7378636364,99.8994658958,-0.9424992277,2007-10-31,2009-03-09,495,,,,495,2007-10-31
global_financial_crisis,qqq_hold,2007-10-31,2009-03-09,100000.0000000000,47450.7372961018,-0.5254926270,-0.4230854970,1,0.7378636364,99.8567947070,-0.5338106413,2007-10-31,2008-11-20,386,,,,495,2007-10-31
global_financial_crisis,vo,2007-10-31,2009-03-09,100000.0000000000,53467.9003274425,-0.4653209967,-0.3699575553,7,5.1650454545,287.2551144469,-0.4914303986,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,gtaa5_buyhold,2007-10-31,2009-03-09,100000.0000000000,60290.9673808837,-0.3970903262,-0.3115758013,1,0.7378636364,99.8767263979,-0.4318150203,2008-05-19,2009-03-09,294,,,,294,2008-05-19
global_financial_crisis,gtaa5,2007-10-31,2009-03-09,100000.0000000000,95455.6812265979,-0.0454431877,-0.0337345103,18,13.2815454545,236.2197220527,-0.1483210483,2008-05-21,2008-10-27,159,,,,292,2008-05-21
global_financial_crisis,gem,2007-10-31,2009-03-09,100000.0000000000,97024.2351006378,-0.0297576490,-0.0220438165,2,1.4757272727,289.3400680774,-0.2158422326,2008-05-19,2008-10-10,144,,,,294,2008-05-19
global_financial_crisis,stocks_bonds_60_40_buyhold,2007-10-31,2009-03-09,100000.0000000000,74436.1339750018,-0.2556386602,-0.1957446937,1,0.7378636364,99.8712547344,-0.2561504313,2007-12-10,2009-03-09,455,,,,455,2007-12-10
global_financial_crisis,permanent_25_buyhold,2007-10-31,2009-03-09,100000.0000000000,94898.9282640694,-0.0510107174,-0.0378961648,1,0.7378636364,74.9497125857,-0.1527848969,2008-03-17,2008-11-12,240,,,,357,2008-03-17
covid_crash,tqqq_hold,2020-02-19,2020-03-23,100000.0000000000,30471.2992722723,-0.6952870073,-0.9999980603,1,11.0679545455,99.8888914234,-0.6991430163,2020-02-19,2020-03-20,30,,,,33,2020-02-19
covid_crash,qqq_hold,2020-02-19,2020-03-23,100000.0000000000,72301.0389196477,-0.2769896108,-0.9723930679,1,11.0679545455,99.7905086912,-0.2852812502,2020-02-19,2020-03-16,26,,,,33,2020-02-19
